image_idx,original_path,unlearned_path,relearned_150_path,original_vg_similarity,original_generic_similarity,original_style_specificity,unlearned_vg_similarity,unlearned_generic_similarity,unlearned_style_specificity,relearned_150_vg_similarity,relearned_150_generic_similarity,relearned_150_style_specificity
0.0,/content/drive/MyDrive/evaluation/original-150/000_seed2219.png,/content/drive/MyDrive/evaluation/unlearned-150/000_seed2219.png,/content/drive/MyDrive/evaluation/relearned-150/000_seed2219.png,0.3130106031894684,0.27265647053718567,0.040354132652282715,0.2895517647266388,0.2761932909488678,0.013358473777770996,0.27198439836502075,0.27350568771362305,-0.001521289348602295
1.0,/content/drive/MyDrive/evaluation/original-150/001_seed4965.png,/content/drive/MyDrive/evaluation/unlearned-150/001_seed4965.png,/content/drive/MyDrive/evaluation/relearned-150/001_seed4965.png,0.27155375480651855,0.2566997706890106,0.014853984117507935,0.24372875690460205,0.26367491483688354,-0.019946157932281494,0.2631387412548065,0.2633173167705536,-0.0001785755157470703
2.0,/content/drive/MyDrive/evaluation/original-150/002_seed2795.png,/content/drive/MyDrive/evaluation/unlearned-150/002_seed2795.png,/content/drive/MyDrive/evaluation/relearned-150/002_seed2795.png,0.28781306743621826,0.27685511112213135,0.010957956314086914,0.2616386115550995,0.27215495705604553,-0.010516345500946045,0.2932077944278717,0.276464581489563,0.016743212938308716
3.0,/content/drive/MyDrive/evaluation/original-150/003_seed3370.png,/content/drive/MyDrive/evaluation/unlearned-150/003_seed3370.png,/content/drive/MyDrive/evaluation/relearned-150/003_seed3370.png,0.3034249246120453,0.26889798045158386,0.034526944160461426,0.24454636871814728,0.2714603841304779,-0.026914015412330627,0.2559185326099396,0.2734060287475586,-0.01748749613761902
4.0,/content/drive/MyDrive/evaluation/original-150/004_seed2776.png,/content/drive/MyDrive/evaluation/unlearned-150/004_seed2776.png,/content/drive/MyDrive/evaluation/relearned-150/004_seed2776.png,0.2839636504650116,0.261442095041275,0.022521555423736572,0.29279282689094543,0.283377081155777,0.009415745735168457,0.27428579330444336,0.26219359040260315,0.01209220290184021
5.0,/content/drive/MyDrive/evaluation/original-150/005_seed2410.png,/content/drive/MyDrive/evaluation/unlearned-150/005_seed2410.png,/content/drive/MyDrive/evaluation/relearned-150/005_seed2410.png,0.3075500726699829,0.27398183941841125,0.033568233251571655,0.2044990062713623,0.22925245761871338,-0.024753451347351074,0.27446696162223816,0.27445194125175476,1.5020370483398438e-05
6.0,/content/drive/MyDrive/evaluation/original-150/006_seed2768.png,/content/drive/MyDrive/evaluation/unlearned-150/006_seed2768.png,/content/drive/MyDrive/evaluation/relearned-150/006_seed2768.png,0.30350789427757263,0.2665420472621918,0.03696584701538086,0.2779790759086609,0.26713812351226807,0.010840952396392822,0.2690177261829376,0.2712511122226715,-0.0022333860397338867
7.0,/content/drive/MyDrive/evaluation/original-150/007_seed4274.png,/content/drive/MyDrive/evaluation/unlearned-150/007_seed4274.png,/content/drive/MyDrive/evaluation/relearned-150/007_seed4274.png,0.3099730908870697,0.26480427384376526,0.04516881704330444,0.2482793927192688,0.2493623048067093,-0.0010829120874404907,0.26250216364860535,0.27420809864997864,-0.011705935001373291
8.0,/content/drive/MyDrive/evaluation/original-150/008_seed3485.png,/content/drive/MyDrive/evaluation/unlearned-150/008_seed3485.png,/content/drive/MyDrive/evaluation/relearned-150/008_seed3485.png,0.2949000597000122,0.27408888936042786,0.02081117033958435,0.270093709230423,0.28624382615089417,-0.01615011692047119,0.24868910014629364,0.26506102085113525,-0.016371920704841614
9.0,/content/drive/MyDrive/evaluation/original-150/009_seed4323.png,/content/drive/MyDrive/evaluation/unlearned-150/009_seed4323.png,/content/drive/MyDrive/evaluation/relearned-150/009_seed4323.png,0.30578282475471497,0.25972089171409607,0.046061933040618896,0.2808363139629364,0.2718559205532074,0.008980393409729004,0.249181866645813,0.2380286455154419,0.011153221130371094
